match,home_team,away_team,market_name,player_name,player_team,line,over_price,under_price,prop_id,under_prop_id,agency,opposition_team
Perth Wildcats v Cairns Taipans,Perth Wildcats,Cairns Taipans,Player Points,Admiral Schofield,Cairns Taipans,9.5,1.6,NA,572380,NA,TAB,Perth Wildcats
Perth Wildcats v Cairns Taipans,Perth Wildcats,Cairns Taipans,Player Points,Admiral Schofield,Cairns Taipans,14.5,3,NA,572437,NA,TAB,Perth Wildcats
Perth Wildcats v Cairns Taipans,Perth Wildcats,Cairns Taipans,Player Points,Admiral Schofield,Cairns Taipans,19.5,7,NA,572499,NA,TAB,Perth Wildcats
Perth Wildcats v Cairns Taipans,Perth Wildcats,Cairns Taipans,Player Points,Admiral Schofield,Cairns Taipans,4.5,1.05,NA,572321,NA,TAB,Perth Wildcats
Perth Wildcats v Cairns Taipans,Perth Wildcats,Cairns Taipans,Player Points,Andrew Andrews,Cairns Taipans,9.5,1.15,NA,572384,NA,TAB,Perth Wildcats
Perth Wildcats v Cairns Taipans,Perth Wildcats,Cairns Taipans,Player Points,Andrew Andrews,Cairns Taipans,14.5,1.75,NA,572441,NA,TAB,Perth Wildcats
Perth Wildcats v Cairns Taipans,Perth Wildcats,Cairns Taipans,Player Points,Andrew Andrews,Cairns Taipans,19.5,3.5,NA,572503,NA,TAB,Perth Wildcats
Perth Wildcats v Cairns Taipans,Perth Wildcats,Cairns Taipans,Player Points,Andrew Andrews,Cairns Taipans,24.5,9,NA,572567,NA,TAB,Perth Wildcats
Perth Wildcats v Cairns Taipans,Perth Wildcats,Cairns Taipans,Player Points,Andrew Andrews,Cairns Taipans,29.5,17,NA,572950,NA,TAB,Perth Wildcats
South East Melbourne Phoenix v New Zealand Breakers,South East Melbourne Phoenix,New Zealand Breakers,Player Points,Angus Glover,South East Melbourne Phoenix,9.5,1.45,NA,566328,NA,TAB,New Zealand Breakers
South East Melbourne Phoenix v New Zealand Breakers,South East Melbourne Phoenix,New Zealand Breakers,Player Points,Angus Glover,South East Melbourne Phoenix,14.5,3,NA,566423,NA,TAB,New Zealand Breakers
South East Melbourne Phoenix v New Zealand Breakers,South East Melbourne Phoenix,New Zealand Breakers,Player Points,Angus Glover,South East Melbourne Phoenix,19.5,7,NA,566449,NA,TAB,New Zealand Breakers
South East Melbourne Phoenix v New Zealand Breakers,South East Melbourne Phoenix,New Zealand Breakers,Player Points,Angus Glover,South East Melbourne Phoenix,4.5,1.05,NA,566229,NA,TAB,New Zealand Breakers
Sydney Kings v Tasmania JackJumpers,Sydney Kings,Tasmania JackJumpers,Player Points,Ben Ayre,Tasmania JackJumpers,9.5,3,NA,570344,NA,TAB,Sydney Kings
Sydney Kings v Tasmania JackJumpers,Sydney Kings,Tasmania JackJumpers,Player Points,Ben Ayre,Tasmania JackJumpers,14.5,9,NA,570383,NA,TAB,Sydney Kings
Sydney Kings v Tasmania JackJumpers,Sydney Kings,Tasmania JackJumpers,Player Points,Ben Ayre,Tasmania JackJumpers,4.5,1.3,NA,570206,NA,TAB,Sydney Kings
Perth Wildcats v Cairns Taipans,Perth Wildcats,Cairns Taipans,Player Points,Ben Henshall,Perth Wildcats,9.5,1.5,NA,572356,NA,TAB,Cairns Taipans
Perth Wildcats v Cairns Taipans,Perth Wildcats,Cairns Taipans,Player Points,Ben Henshall,Perth Wildcats,14.5,3.25,NA,572414,NA,TAB,Cairns Taipans
