match,home_team,away_team,player_name,player_team,opposition_team,market_name,line,over_price,under_price,agency
Cairns Taipans v Perth Wildcats,Cairns Taipans,Perth Wildcats,Lat Mayen,Perth Wildcats,Cairns Taipans,Player Rebounds,4.5,1.8,1.9,Dabble
Cairns Taipans v Perth Wildcats,Cairns Taipans,Perth Wildcats,Reyne Smith,Cairns Taipans,Perth Wildcats,Player Rebounds,3.5,2.1,1.65,Dabble
Cairns Taipans v Perth Wildcats,Cairns Taipans,Perth Wildcats,Admiral Schofield,Cairns Taipans,Perth Wildcats,Player Rebounds,5.5,1.82,1.88,Dabble
Cairns Taipans v Perth Wildcats,Cairns Taipans,Perth Wildcats,Alex Higgins-Titsha,Cairns Taipans,Perth Wildcats,Player Rebounds,6.5,1.85,1.85,Dabble
Cairns Taipans v Perth Wildcats,Cairns Taipans,Perth Wildcats,Ben Henshall,Perth Wildcats,Cairns Taipans,Player Rebounds,3.5,1.75,1.95,Dabble
Cairns Taipans v Perth Wildcats,Cairns Taipans,Perth Wildcats,Andrew Andrews,NA,NA,Player Rebounds,2.5,1.8,1.9,Dabble
Cairns Taipans v Perth Wildcats,Cairns Taipans,Perth Wildcats,Kristian Doolittle,Perth Wildcats,Cairns Taipans,Player Rebounds,7.5,1.92,1.78,Dabble
Cairns Taipans v Perth Wildcats,Cairns Taipans,Perth Wildcats,Jaron Rillie,Perth Wildcats,Cairns Taipans,Player Rebounds,2.5,1.67,2.05,Dabble
Cairns Taipans v Perth Wildcats,Cairns Taipans,Perth Wildcats,Kyrin Galloway,Cairns Taipans,Perth Wildcats,Player Rebounds,5.5,1.9,1.8,Dabble
Cairns Taipans v Perth Wildcats,Cairns Taipans,Perth Wildcats,Jo Lual-Acuil Jr,Perth Wildcats,Cairns Taipans,Player Rebounds,8.5,1.92,1.78,Dabble
Cairns Taipans v Perth Wildcats,Cairns Taipans,Perth Wildcats,Marcus Lee,Cairns Taipans,Perth Wildcats,Player Rebounds,7.5,2.02,1.7,Dabble
Cairns Taipans v Perth Wildcats,Cairns Taipans,Perth Wildcats,Jo Lual-Acuil Jr,Perth Wildcats,Cairns Taipans,Player Rebounds,9.5,2.4,NA,Dabble
Cairns Taipans v Perth Wildcats,Cairns Taipans,Perth Wildcats,Kristian Doolittle,Perth Wildcats,Cairns Taipans,Player Rebounds,9.5,3.3,NA,Dabble
Cairns Taipans v Perth Wildcats,Cairns Taipans,Perth Wildcats,Marcus Lee,Cairns Taipans,Perth Wildcats,Player Rebounds,9.5,3.5,NA,Dabble
Cairns Taipans v Perth Wildcats,Cairns Taipans,Perth Wildcats,Alex Higgins-Titsha,Cairns Taipans,Perth Wildcats,Player Rebounds,9.5,4.5,NA,Dabble
Cairns Taipans v Perth Wildcats,Cairns Taipans,Perth Wildcats,Admiral Schofield,Cairns Taipans,Perth Wildcats,Player Rebounds,9.5,7.5,NA,Dabble
Cairns Taipans v Perth Wildcats,Cairns Taipans,Perth Wildcats,Kyrin Galloway,Cairns Taipans,Perth Wildcats,Player Rebounds,9.5,8.5,NA,Dabble
Cairns Taipans v Perth Wildcats,Cairns Taipans,Perth Wildcats,Lat Mayen,Perth Wildcats,Cairns Taipans,Player Rebounds,9.5,11,NA,Dabble
Cairns Taipans v Perth Wildcats,Cairns Taipans,Perth Wildcats,Jo Lual-Acuil Jr,Perth Wildcats,Cairns Taipans,Player Rebounds,7.5,1.46,NA,Dabble
Cairns Taipans v Perth Wildcats,Cairns Taipans,Perth Wildcats,Marcus Lee,Cairns Taipans,Perth Wildcats,Player Rebounds,7.5,1.96,NA,Dabble
Cairns Taipans v Perth Wildcats,Cairns Taipans,Perth Wildcats,Alex Higgins-Titsha,Cairns Taipans,Perth Wildcats,Player Rebounds,7.5,2.4,NA,Dabble
Cairns Taipans v Perth Wildcats,Cairns Taipans,Perth Wildcats,Admiral Schofield,Cairns Taipans,Perth Wildcats,Player Rebounds,7.5,3,NA,Dabble
Cairns Taipans v Perth Wildcats,Cairns Taipans,Perth Wildcats,Kyrin Galloway,Cairns Taipans,Perth Wildcats,Player Rebounds,7.5,3.5,NA,Dabble
Cairns Taipans v Perth Wildcats,Cairns Taipans,Perth Wildcats,Lat Mayen,Perth Wildcats,Cairns Taipans,Player Rebounds,7.5,6,NA,Dabble
Cairns Taipans v Perth Wildcats,Cairns Taipans,Perth Wildcats,Ben Henshall,Perth Wildcats,Cairns Taipans,Player Rebounds,7.5,11,NA,Dabble
Cairns Taipans v Perth Wildcats,Cairns Taipans,Perth Wildcats,Jaron Rillie,Perth Wildcats,Cairns Taipans,Player Rebounds,7.5,19,NA,Dabble
Cairns Taipans v Perth Wildcats,Cairns Taipans,Perth Wildcats,Reyne Smith,Cairns Taipans,Perth Wildcats,Player Rebounds,7.5,19,NA,Dabble
Cairns Taipans v Perth Wildcats,Cairns Taipans,Perth Wildcats,Andrew Andrews,NA,NA,Player Rebounds,7.5,26,NA,Dabble
Cairns Taipans v Perth Wildcats,Cairns Taipans,Perth Wildcats,Jo Lual-Acuil Jr,Perth Wildcats,Cairns Taipans,Player Rebounds,13.5,10,NA,Dabble
Cairns Taipans v Perth Wildcats,Cairns Taipans,Perth Wildcats,Jo Lual-Acuil Jr,Perth Wildcats,Cairns Taipans,Player Rebounds,11.5,4.2,NA,Dabble
Cairns Taipans v Perth Wildcats,Cairns Taipans,Perth Wildcats,Kristian Doolittle,Perth Wildcats,Cairns Taipans,Player Rebounds,11.5,6.75,NA,Dabble
Cairns Taipans v Perth Wildcats,Cairns Taipans,Perth Wildcats,Marcus Lee,Cairns Taipans,Perth Wildcats,Player Rebounds,11.5,7.5,NA,Dabble
Cairns Taipans v Perth Wildcats,Cairns Taipans,Perth Wildcats,Alex Higgins-Titsha,Cairns Taipans,Perth Wildcats,Player Rebounds,11.5,10,NA,Dabble
Cairns Taipans v Perth Wildcats,Cairns Taipans,Perth Wildcats,Jo Lual-Acuil Jr,Perth Wildcats,Cairns Taipans,Player Rebounds,7.5,1.55,NA,Dabble
Cairns Taipans v Perth Wildcats,Cairns Taipans,Perth Wildcats,Jo Lual-Acuil Jr,Perth Wildcats,Cairns Taipans,Player Rebounds,4.5,1.05,NA,Dabble
Cairns Taipans v Perth Wildcats,Cairns Taipans,Perth Wildcats,Kristian Doolittle,Perth Wildcats,Cairns Taipans,Player Rebounds,4.5,1.11,NA,Dabble
Cairns Taipans v Perth Wildcats,Cairns Taipans,Perth Wildcats,Marcus Lee,Cairns Taipans,Perth Wildcats,Player Rebounds,4.5,1.13,NA,Dabble
Cairns Taipans v Perth Wildcats,Cairns Taipans,Perth Wildcats,Alex Higgins-Titsha,Cairns Taipans,Perth Wildcats,Player Rebounds,4.5,1.21,NA,Dabble
Cairns Taipans v Perth Wildcats,Cairns Taipans,Perth Wildcats,Admiral Schofield,Cairns Taipans,Perth Wildcats,Player Rebounds,4.5,1.3,NA,Dabble
Cairns Taipans v Perth Wildcats,Cairns Taipans,Perth Wildcats,Kyrin Galloway,Cairns Taipans,Perth Wildcats,Player Rebounds,4.5,1.38,NA,Dabble
Cairns Taipans v Perth Wildcats,Cairns Taipans,Perth Wildcats,Ben Henshall,Perth Wildcats,Cairns Taipans,Player Rebounds,4.5,2.5,NA,Dabble
Cairns Taipans v Perth Wildcats,Cairns Taipans,Perth Wildcats,Jaron Rillie,Perth Wildcats,Cairns Taipans,Player Rebounds,4.5,3.3,NA,Dabble
Cairns Taipans v Perth Wildcats,Cairns Taipans,Perth Wildcats,Reyne Smith,Cairns Taipans,Perth Wildcats,Player Rebounds,4.5,3.6,NA,Dabble
Cairns Taipans v Perth Wildcats,Cairns Taipans,Perth Wildcats,Andrew Andrews,NA,NA,Player Rebounds,4.5,4.33,NA,Dabble
Cairns Taipans v Perth Wildcats,Cairns Taipans,Perth Wildcats,Jo Lual-Acuil Jr,Perth Wildcats,Cairns Taipans,Player Rebounds,5.5,1.18,NA,Dabble
Cairns Taipans v Perth Wildcats,Cairns Taipans,Perth Wildcats,Kristian Doolittle,Perth Wildcats,Cairns Taipans,Player Rebounds,5.5,1.32,NA,Dabble
Cairns Taipans v Perth Wildcats,Cairns Taipans,Perth Wildcats,Marcus Lee,Cairns Taipans,Perth Wildcats,Player Rebounds,5.5,1.35,NA,Dabble
Cairns Taipans v Perth Wildcats,Cairns Taipans,Perth Wildcats,Alex Higgins-Titsha,Cairns Taipans,Perth Wildcats,Player Rebounds,5.5,1.48,NA,Dabble
Cairns Taipans v Perth Wildcats,Cairns Taipans,Perth Wildcats,Lat Mayen,Perth Wildcats,Cairns Taipans,Player Rebounds,5.5,2.3,NA,Dabble
Cairns Taipans v Perth Wildcats,Cairns Taipans,Perth Wildcats,Ben Henshall,Perth Wildcats,Cairns Taipans,Player Rebounds,5.5,3.3,NA,Dabble
Cairns Taipans v Perth Wildcats,Cairns Taipans,Perth Wildcats,Reyne Smith,Cairns Taipans,Perth Wildcats,Player Rebounds,5.5,4.75,NA,Dabble
Cairns Taipans v Perth Wildcats,Cairns Taipans,Perth Wildcats,Jaron Rillie,Perth Wildcats,Cairns Taipans,Player Rebounds,5.5,5,NA,Dabble
Cairns Taipans v Perth Wildcats,Cairns Taipans,Perth Wildcats,Andrew Andrews,NA,NA,Player Rebounds,5.5,6,NA,Dabble
